"Timestamp","What's your Myers-Briggs type?"
"2015/11/17 7:21:15 PM PST","I S T J"
"2015/11/17 7:21:26 PM PST","“It's always something different"""
"2015/11/17 7:30:05 PM PST","E N F P;E N T P;I N F P;I N T P"
"2015/11/17 7:33:25 PM PST","E N T J"
"2015/11/17 7:35:32 PM PST","E N F P"
"2015/11/17 7:41:00 PM PST","I N F P"
"2015/11/17 7:41:58 PM PST","I N T J"
"2015/11/17 7:45:11 PM PST","I N T J"
"2015/11/17 7:47:37 PM PST","I S T J"
"2015/11/17 7:51:01 PM PST","E N T P"
"2015/11/17 7:52:49 PM PST","I N F P"
"2015/11/17 7:52:59 PM PST","I N F J"
"2015/11/17 7:56:26 PM PST","I N F J"
"2015/11/17 7:56:38 PM PST","I N T J"
"2015/11/17 7:58:22 PM PST","I N F P"
"2015/11/17 8:01:49 PM PST","E N F J;E N T J;E S F J;E S T J;I N F J;I N T J;I S F J;I S T J"
"2015/11/17 8:10:16 PM PST","I N T P"
"2015/11/17 8:12:06 PM PST","I N T J"
"2015/11/17 8:16:48 PM PST","I N T J"
"2015/11/17 8:20:18 PM PST","“It's always something different"""
"2015/11/17 8:20:39 PM PST","I N F P"
"2015/11/17 8:21:01 PM PST","E N T P"
"2015/11/17 8:35:22 PM PST","I N F J"
"2015/11/17 8:35:28 PM PST","I N F P"
"2015/11/17 8:36:33 PM PST","I N F J"
"2015/11/17 8:38:55 PM PST","I N F J"
"2015/11/17 8:44:55 PM PST","I N F P"
"2015/11/17 8:48:05 PM PST","I N F P"
"2015/11/17 8:48:47 PM PST","“It's always something different"""
"2015/11/17 8:51:19 PM PST","I S T J"
"2015/11/17 8:51:19 PM PST","E N F J;E N F P;I N F P;I N T P"
"2015/11/17 8:56:37 PM PST","I N F J"
"2015/11/17 8:57:43 PM PST","I N T P"
"2015/11/17 9:00:48 PM PST","I N T J"
"2015/11/17 9:10:01 PM PST","I S F J"
"2015/11/17 9:25:21 PM PST","E N T J"
"2015/11/17 9:31:24 PM PST","I N F P"
