"Timestamp","What's your Myers-Briggs type?"
"2015/11/29 7:55:49 PM PST","E N T J"
"2015/11/30 4:05:32 AM PST","I N T J"
"2015/11/30 2:05:27 PM PST","I S T P"
"2015/11/30 8:41:10 PM PST","I N T J"
"2015/12/01 10:48:25 AM PST","I N F P"
"2015/12/02 6:38:42 AM PST","I N T J"
"2015/12/02 8:25:55 AM PST","I N F J;I N T J"
"2015/12/02 8:35:57 AM PST","“It's always something different"""
"2015/12/02 9:40:34 AM PST","I N F P"
"2015/12/02 11:21:04 AM PST","I N T P"
"2015/12/02 1:41:24 PM PST","I N F J;I S F J"
"2015/12/02 1:55:13 PM PST","I N F P"
"2015/12/02 2:22:33 PM PST","I N T J"
"2015/12/02 3:39:34 PM PST","I N T P"
"2015/12/02 7:43:57 PM PST","I N F J"
"2015/12/03 8:12:09 AM PST","E N T P"
"2015/12/03 11:37:57 AM PST","E N F P"
"2015/12/04 12:56:20 PM PST","I N T J"
"2015/12/04 3:10:53 PM PST","I N F P"
"2015/12/04 5:28:26 PM PST","I N T J"
"2015/12/05 7:25:49 AM PST","I S T J;I S T P"
"2015/12/05 7:17:39 PM PST","I N F J"
"2015/12/05 11:44:43 PM PST","I N T J"
"2015/12/07 9:20:12 AM PST","I N T J"
"2015/12/07 8:20:24 PM PST","I N T J"
"2015/12/09 5:22:28 PM PST","I N F P"
"2015/12/10 1:05:53 AM PST","I N T P"
"2015/12/12 2:05:09 AM PST","E N T P"
"2015/12/13 12:49:29 AM PST","I N F P"
"2015/12/16 1:13:41 AM PST","I N F J"
